longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,Social_Security_No
-117.89,33.99,22,3272,618,1784,591,4.0324,<1H OCEAN,211300,46648
-117.87,33.99,21,2837,515,2031,555,4.9271,<1H OCEAN,209700,35724
-118.01,34.05,37,682,172,813,173,3.8125,<1H OCEAN,138000,37880
-117.99,34.04,30,4468,959,4027,938,3.185,<1H OCEAN,168300,48493
-118.02,34.04,27,5640,1001,3538,978,5.065,<1H OCEAN,215400,33616
-118,34.03,25,6909,1154,3912,1121,5.257,<1H OCEAN,226100,34878
-117.98,34.02,32,2945,651,2044,652,3.1979,<1H OCEAN,183900,36099
-117.98,34.02,33,3512,632,1971,598,4.4653,<1H OCEAN,193200,30949
-117.98,34.01,27,2643,418,1344,381,5.7057,<1H OCEAN,262100,43133
-117.99,34,26,2988,397,1371,415,6.6988,<1H OCEAN,382500,46732
-118.02,34.02,21,5992,986,2647,969,5.2405,<1H OCEAN,302400,42821
-117.97,34.01,33,3530,700,2959,679,3.7459,<1H OCEAN,152900,44666
-117.97,34.01,33,2006,381,1410,346,3.7083,<1H OCEAN,165500,44564
-117.97,34,28,1983,375,1407,367,3.8319,<1H OCEAN,179000,37757
-117.97,33.99,22,5284,982,2613,932,4.7332,<1H OCEAN,289900,49827
-117.98,34,22,3632,538,1968,566,6.019,<1H OCEAN,324900,41034
-117.98,33.99,26,3343,455,1429,457,7.0778,<1H OCEAN,334300,46057
-117.98,33.98,27,2275,346,1039,333,6.2217,<1H OCEAN,333500,36988
-117.99,33.98,18,8399,1144,3727,1107,6.9695,<1H OCEAN,360400,30996
-117.95,34,34,2376,468,1858,449,4.1328,<1H OCEAN,176300,43904
-117.96,34,33,5462,952,3527,914,4.4038,<1H OCEAN,186700,30153
-117.96,34,34,2777,540,1954,522,4.5163,<1H OCEAN,183800,34170
-117.92,33.98,10,16414,2919,8907,2714,6.1552,<1H OCEAN,362500,47276
-117.95,33.98,15,16042,2602,7732,2552,5.6716,<1H OCEAN,330400,47674
-117.94,33.99,18,6100,1018,3112,982,4.9932,<1H OCEAN,284000,32757
-117.95,33.99,15,3978,692,2418,665,5.0142,<1H OCEAN,269900,39133
-117.95,33.99,24,1219,177,610,185,6.7978,<1H OCEAN,325000,47200
-117.95,33.99,25,1075,138,451,132,6.8492,<1H OCEAN,332200,49931
-117.96,33.99,25,1348,210,660,200,5.2852,<1H OCEAN,297600,43799
-117.96,33.99,25,2799,388,1348,389,6.2517,<1H OCEAN,311100,38834
-117.97,33.99,23,3335,570,1560,555,5.7268,<1H OCEAN,300300,41670
-117.96,33.98,25,1259,184,599,170,5.7407,<1H OCEAN,302200,38190
-117.88,33.96,16,19059,3079,10988,3061,5.5469,<1H OCEAN,265200,48207
-117.89,33.98,5,3088,711,1415,641,2.5125,<1H OCEAN,184500,30006
-117.9,33.98,20,9893,2283,7228,2159,3.253,<1H OCEAN,186700,39397
-117.9,33.97,23,7353,1255,4014,1124,5.4155,<1H OCEAN,213200,39541
-117.75,34.06,52,1171,318,1126,276,1.9762,INLAND,105800,36341
-117.75,34.06,52,62,9,44,16,0.4999,INLAND,112500,43770
-117.74,34.06,4,1391,506,727,369,1.4722,INLAND,137500,35387
-117.75,34.05,27,437,108,469,97,1.7206,INLAND,107500,39443
-117.75,34.05,37,378,92,503,103,2.1908,INLAND,94600,39476
-117.75,34.06,44,477,135,502,117,2.0156,INLAND,112500,48109
-117.75,34.06,52,24,6,46,7,1.625,INLAND,67500,49941
-117.94,34.15,33,859,144,421,138,4.4821,INLAND,220100,37990
-117.95,34.16,17,7116,1089,3538,1083,6.2654,INLAND,273800,39123
-117.94,34.14,33,1620,283,868,275,5.411,INLAND,219400,35523
-117.95,34.14,13,3859,710,2283,759,4.5594,INLAND,184500,32298
-117.95,34.14,33,1943,440,1526,353,3.038,INLAND,137500,39975
-117.96,34.14,27,2221,542,1328,523,2.5275,INLAND,151700,41814
-117.96,34.14,33,1994,405,993,403,3.766,INLAND,163900,48204
-117.96,34.14,9,907,207,619,194,3.9464,INLAND,179600,40668
-117.97,34.14,15,3595,964,1839,877,2.6014,INLAND,150300,39210
-117.97,34.14,33,1328,348,903,329,3.1094,INLAND,136000,43534
-117.97,34.13,42,683,127,541,138,3.4375,INLAND,151700,38682
-117.98,34.14,24,1596,388,1329,352,3.0417,INLAND,148000,32577
-117.97,34.13,33,2038,473,1546,469,3.4777,INLAND,144500,49431
-117.98,34.13,37,1447,309,1279,290,4.0083,INLAND,142900,32558
-117.98,34.13,29,2110,460,1890,448,3.6806,INLAND,130500,43143
-117.97,34.15,33,2474,472,1268,437,6.4576,INLAND,500001,43136
-117.97,34.17,35,5005,848,2112,813,4.9968,INLAND,295000,48360
-118,34.16,42,1020,156,398,157,6.101,INLAND,311800,45713
-118.01,34.16,47,1745,270,753,275,5.532,INLAND,318500,37565
-117.99,34.18,38,2981,432,1063,437,6.5254,INLAND,365000,43144
-117.99,34.16,40,3838,696,1851,674,4.2407,INLAND,262000,34082
-118,34.16,52,1354,227,531,206,4.8059,INLAND,270600,37642
-118,34.15,48,3436,673,1540,648,4.275,INLAND,256800,31771
-118.01,34.15,52,2234,472,986,439,3.9125,INLAND,265500,35065
-118.02,34.15,44,2419,437,1045,432,3.875,INLAND,280800,47112
-118.02,34.17,32,3868,548,1558,528,9.4667,INLAND,500001,31900
-118.03,34.16,36,1640,239,693,253,6.6888,INLAND,500001,42655
-118.03,34.15,43,1694,283,674,267,4.1797,INLAND,486800,39365
-118.02,34.15,44,2267,426,980,372,3.6,INLAND,307400,36137
-118.06,34.17,38,2726,398,1059,380,7.2419,INLAND,410400,46672
-118.05,34.17,45,2535,455,1036,437,5.0482,INLAND,388900,44882
-118.04,34.17,52,1885,401,764,373,4.0385,INLAND,265700,46468
-118.04,34.18,37,3134,532,1220,508,5.2865,INLAND,455400,34952
-118.04,34.16,38,1594,249,633,247,5.9582,INLAND,350700,30791
-118.05,34.16,36,3908,732,1688,725,4.5625,INLAND,376800,31672
-118.05,34.16,41,3320,713,1236,659,3.5694,INLAND,278600,31234
-118.06,34.16,46,1467,298,816,267,3.6705,INLAND,286500,37204
-118.06,34.16,34,2297,419,909,412,4.8214,INLAND,362500,48944
-118.07,34.16,35,3585,671,1401,623,4.125,INLAND,330000,34402
-118.03,34.16,36,1401,218,667,225,7.1615,INLAND,484700,37440
-118.03,34.16,39,2731,366,1034,338,9.8098,INLAND,500001,42136
-118.05,34.15,32,5131,665,1877,622,8.2004,INLAND,500001,38685
-118.06,34.15,37,1980,226,697,226,15.0001,INLAND,500001,30944
-118.05,34.14,39,2125,295,862,303,8.9728,INLAND,500001,43695
-118.06,34.13,40,4307,918,1769,845,3.6341,INLAND,391500,32944
-118.06,34.14,42,2461,379,1179,360,7.0315,INLAND,437300,36580
-118.06,34.14,40,2662,379,1151,387,8.4889,INLAND,500001,41786
-118.03,34.14,44,1446,250,721,243,4.7308,INLAND,352200,46544
-118.04,34.13,22,3359,643,1227,588,4.645,INLAND,276200,33328
-118.04,34.15,34,1523,311,676,295,3.3621,INLAND,377200,41882
-118.04,34.13,35,249,31,268,29,15.0001,INLAND,500001,42918
-118.05,34.13,23,3264,729,1475,668,3.735,INLAND,218300,46273
-118.06,34.13,28,12139,2873,5359,2731,3.292,INLAND,227300,49384
-118.02,34.14,34,1077,257,478,199,2.6316,INLAND,252800,32914
-118.02,34.13,32,3308,718,1803,667,3.9464,INLAND,273600,49154
-118.03,34.14,31,4353,1117,2338,1037,3.0727,INLAND,242600,40425
-118.01,34.13,36,1332,217,648,203,4.7159,INLAND,365900,33998
-118.02,34.13,33,2874,458,1239,431,5.2329,INLAND,430900,36463
-118.02,34.13,34,1966,319,980,297,7.7307,INLAND,429000,39969
-118.03,34.13,33,2352,373,995,359,4.9583,INLAND,445700,35111
-118.02,34.12,37,2250,360,989,329,6.1536,INLAND,366000,37628
-118.02,34.11,35,2454,458,1110,435,3.8029,INLAND,414800,33146
-118.02,34.12,36,1471,246,751,230,5.4555,INLAND,395100,30323
-118.02,34.12,38,1778,288,870,281,6.5784,INLAND,408500,49889
-118.03,34.11,34,2837,460,1344,458,6.5722,INLAND,437400,33380
-118.01,34.14,20,3350,831,1816,744,2.8352,INLAND,161700,41288
-118.01,34.14,23,3425,754,2202,729,3.52,INLAND,187300,37458
-118.02,34.14,31,6854,1578,4131,1524,3.5878,INLAND,222800,37472
-117.99,34.15,44,2492,611,1951,596,3.1304,INLAND,185600,46739
-118,34.15,43,2583,633,1544,617,2.5417,INLAND,178300,48168
-118.01,34.15,32,6597,1579,3689,1459,3.2377,INLAND,184100,34759
-117.98,34.14,27,6341,1289,2899,1192,3.6336,INLAND,235200,36657
-117.99,34.14,30,2346,,1988,474,2.5625,INLAND,153000,32480
-118,34.13,24,2584,520,1869,503,3.2841,INLAND,167000,30657
-118,34.14,31,1298,431,1131,425,1.0548,INLAND,178100,40769
-118,34.14,39,1302,303,800,291,3.2723,INLAND,166900,43095
-118,34.13,35,1005,224,742,221,3.5481,INLAND,158100,34685
-117.99,34.13,37,1568,371,1618,350,2.9605,INLAND,129400,49412
-117.99,34.12,37,1527,331,1504,324,3.2857,INLAND,130100,36314
-117.99,34.12,35,1040,231,1040,242,2.5395,INLAND,139200,49527
-118,34.12,37,1340,325,928,333,3.9219,INLAND,175000,39255
-118,34.12,42,870,170,546,164,4.625,INLAND,173800,44050
-118.01,34.13,38,3374,671,1906,640,4.0729,INLAND,212300,33656
-118.01,34.12,43,1185,207,657,198,4.5491,INLAND,214800,33879
-118.01,34.12,32,1937,332,922,340,3.94,INLAND,278400,43095
-118.01,34.11,32,1978,536,826,470,2.5114,INLAND,212200,42064
-118.01,34.11,43,1858,345,1054,329,3.5625,INLAND,211600,36425
-118.01,34.11,36,1722,320,794,322,4.2132,INLAND,212200,34706
-118.02,34.1,36,1928,361,1008,368,4.733,INLAND,233700,41953
-118.02,34.1,36,452,80,248,83,1.9688,INLAND,226000,45515
-118.02,34.11,39,1504,280,718,261,4.625,INLAND,219000,45352
-118.03,34.1,38,2301,416,1079,398,4.4236,INLAND,233600,31385
-118.03,34.1,30,2773,634,1376,540,2.7857,INLAND,201700,46481
-118.03,34.1,31,2647,539,1473,520,3.94,INLAND,223900,49020
-118.03,34.1,32,2668,609,1512,541,2.9422,INLAND,233100,37151
-118.03,34.11,38,2076,361,988,332,5.9175,INLAND,416900,46392
-118.04,34.11,44,773,120,405,121,5,INLAND,447100,45618
-118.04,34.11,37,1275,177,598,174,7.1885,INLAND,500001,40736
-118.05,34.11,42,3677,627,1779,622,5.1509,INLAND,426500,39540
-118.04,34.13,39,2485,382,1072,342,6.0878,INLAND,430200,43392
-118.04,34.12,39,2522,380,1113,357,5.2249,INLAND,445200,42133
-118.04,34.12,44,2007,288,921,307,6.5989,INLAND,500001,44853
-118.04,34.12,30,2170,318,984,309,5.6916,INLAND,500001,46412
-118.05,34.12,20,5218,959,2302,850,3.55,INLAND,476700,41844
-118.06,34.12,25,3891,848,1848,759,3.6639,INLAND,248100,34417
-118.06,34.12,34,2941,558,1660,576,4.5667,INLAND,271500,30768
-118.06,34.12,35,2053,369,1044,375,4.1875,INLAND,275400,30690
-118.05,34.11,48,1410,304,677,274,3.2596,INLAND,272400,37600
-118.06,34.11,36,2178,485,914,412,2.7656,INLAND,239500,43244
-118.06,34.11,39,2603,547,1196,487,3.0854,INLAND,248700,39833
-118.04,34.1,39,2302,412,1590,406,4.8017,INLAND,273800,30405
-118.05,34.1,36,1606,318,889,294,4.7931,INLAND,272600,44500
-118.06,34.1,38,3229,636,1599,609,3.8646,<1H OCEAN,257100,45547
-118.06,34.1,42,1576,313,697,282,4.3523,<1H OCEAN,283600,40888
-118.06,34.1,43,1833,355,786,334,3.5761,<1H OCEAN,256700,49337
-118.06,34.1,38,2438,442,1308,461,3.6995,<1H OCEAN,260100,37043
-118.04,34.1,38,2317,451,1155,426,4.1488,INLAND,235300,35200
-118.04,34.09,34,2597,461,1542,470,4.6211,INLAND,248900,30681
-118.05,34.1,30,2143,427,1107,416,4.2321,INLAND,252200,36284
-118.05,34.1,42,2065,404,1313,402,4.0179,INLAND,274300,33595
-118.06,34.09,38,2036,388,1096,371,4.0625,<1H OCEAN,262500,39175
-118.06,34.1,38,1960,330,874,308,4.8594,<1H OCEAN,265900,48560
-118.06,34.09,36,1239,238,717,237,3.244,<1H OCEAN,258100,40176
-118.06,34.09,40,1975,389,1116,378,4.2898,<1H OCEAN,251600,40563
-118.07,34.09,40,1745,370,1293,357,2.5474,<1H OCEAN,198100,45267
-118.07,34.09,35,1224,267,887,276,4.0987,<1H OCEAN,202400,37077
-118.08,34.09,33,2557,578,1715,530,2.9196,<1H OCEAN,208800,33551
-118.08,34.09,34,1823,457,1485,401,3.7222,<1H OCEAN,207200,47047
-118.08,34.09,32,3214,718,2316,751,3.7066,<1H OCEAN,206800,47412
-118.04,34.09,34,2001,388,1461,397,3.8304,INLAND,183000,47452
-118.04,34.08,35,1148,258,975,253,4.037,<1H OCEAN,173300,33919
-118.04,34.09,32,1339,334,817,349,2.8333,INLAND,186000,37785
-118.05,34.09,23,602,135,409,123,3.5268,<1H OCEAN,146400,42436
-118.02,34.09,32,1747,399,1199,402,3.4286,INLAND,191800,32172
-118.02,34.08,29,2741,667,2449,677,3.6944,INLAND,175200,47570
-118.02,34.09,24,2080,514,1976,478,2.6917,INLAND,170000,47958
-118.03,34.09,29,1219,338,1152,323,2.8029,INLAND,180900,48212
-118.03,34.08,32,1780,484,1732,454,2.4464,INLAND,169600,40082
-118,34.1,34,2249,460,1544,441,3.4005,INLAND,176300,41828
-118.01,34.09,29,3402,747,2331,690,3.6094,INLAND,179200,43287
-118.01,34.1,27,2424,542,1713,557,3.8085,INLAND,181400,42060
-118.01,34.1,35,2120,412,1375,405,3.4609,INLAND,166300,41624
-118,34.08,29,2003,401,1520,364,3.994,INLAND,195300,48026
-118.01,34.08,30,2281,522,1969,500,3.6531,INLAND,166300,42607
-118.02,34.08,28,2769,631,2452,581,2.6071,INLAND,175900,43718
-118.01,34.08,35,1852,358,1414,347,4.275,INLAND,173600,35497
-118.01,34.09,32,1613,361,1283,404,3.1944,INLAND,181700,46708
-118,34.08,23,1627,318,1279,289,4.6467,INLAND,185100,37000
-118.02,34.08,31,2402,632,2830,603,2.3333,INLAND,164200,30910
-118.03,34.08,37,775,179,726,183,3.25,INLAND,159200,44113
-118.03,34.08,42,1597,373,1311,352,2.9688,INLAND,162800,42659
-118.04,34.07,52,177,59,269,75,2.3611,<1H OCEAN,131300,39213
-118.05,34.08,34,572,154,752,182,2.0433,<1H OCEAN,138800,37341
-118.05,34.08,25,4909,1422,4983,1293,2.7254,<1H OCEAN,143500,45820
-118.05,34.08,30,1572,427,1857,428,2.4914,<1H OCEAN,159200,36699
-118.06,34.08,37,778,205,850,198,2.5119,<1H OCEAN,180500,31426
-118.06,34.08,34,1197,260,942,245,3.4202,<1H OCEAN,189100,42007
-118.06,34.08,42,1988,402,1239,402,3.2569,<1H OCEAN,201500,31006
-118.07,34.08,38,2462,553,1843,538,3.2312,<1H OCEAN,211900,34008
-118.07,34.07,19,1554,393,1427,370,3.125,<1H OCEAN,207100,41174
-118.07,34.08,37,1210,252,733,243,2.806,<1H OCEAN,214600,39507
-118.05,34.07,32,4492,1075,4119,1035,3.2373,<1H OCEAN,183100,40421
-118.06,34.07,30,2308,674,3034,691,2.3929,<1H OCEAN,184400,37948
-118.03,34.07,37,1091,269,905,242,3.1042,<1H OCEAN,152000,45249
-118.03,34.06,36,1018,305,1307,292,2.1453,<1H OCEAN,162100,48638
-118.04,34.07,39,1382,315,1090,308,3.8125,<1H OCEAN,174000,43351
-118.04,34.07,39,2451,649,2536,648,2.3098,<1H OCEAN,173100,32774
-118.01,34.07,22,6311,1572,6666,1456,2.9334,INLAND,182600,35852
-118.01,34.06,26,557,153,455,196,2.7721,INLAND,155400,45638
-118.01,34.07,24,5684,1485,6626,1481,2.2559,INLAND,166800,30901
-118.02,34.07,21,3245,959,3528,887,2.3236,INLAND,156300,35703
-118.03,34.06,31,1513,389,1396,364,2.4706,<1H OCEAN,170600,42819
-118.03,34.06,24,2343,834,3537,824,2.1094,<1H OCEAN,135200,30334
-118.03,34.06,27,2510,783,3481,726,2.4875,<1H OCEAN,157800,43733
-118.04,34.06,31,957,295,1300,287,2.1383,<1H OCEAN,153400,36932
-118.04,34.06,30,2019,551,2481,484,3.1875,<1H OCEAN,154200,31923
-118.04,34.06,39,1258,245,988,228,3.2132,<1H OCEAN,176100,38711
-118.05,34.06,32,2286,654,2991,655,2.1781,<1H OCEAN,174500,40603
-118.05,34.06,45,531,164,722,166,2.1406,<1H OCEAN,162500,38718
-118.05,34.06,25,1022,291,1570,297,3.023,<1H OCEAN,142000,36956
-118.06,34.06,28,2127,625,3160,620,2.5763,<1H OCEAN,173900,33067
-118.06,34.06,28,1778,605,2184,574,1.9189,<1H OCEAN,165900,32308
-118.07,34.07,31,1370,284,1062,277,3.5156,<1H OCEAN,199300,35087
-118.08,34.07,32,4089,975,3775,955,3.29,<1H OCEAN,205500,37292
-118.07,34.06,34,2873,718,2758,699,2.5985,<1H OCEAN,168600,49174
-118.04,34.05,32,1252,273,1337,263,2.6579,<1H OCEAN,156800,40104
-118.05,34.05,36,1084,202,920,199,3.7279,<1H OCEAN,162200,35866
-118.06,34.04,28,1516,363,1011,344,2.6288,<1H OCEAN,160300,32245
-118.03,34.06,24,2469,731,3818,712,2.5445,<1H OCEAN,151400,39657
-118.04,34.05,34,1058,230,1043,229,3.0536,<1H OCEAN,137500,48664
-118.04,34.04,35,1734,363,1527,344,3,<1H OCEAN,160600,47335
-118.04,34.04,32,1619,323,1492,342,3.5,<1H OCEAN,165100,36253
-118.05,34.04,33,1348,,1098,257,4.2917,<1H OCEAN,161200,47961
-118.06,34.03,36,21,7,21,9,2.375,<1H OCEAN,175000,30561
-118.02,34.06,26,2929,970,3792,817,2.2577,<1H OCEAN,173800,32144
-118.02,34.05,34,1610,513,2050,508,2.5562,<1H OCEAN,156300,44969
-118.03,34.05,36,1359,317,1557,370,2.7955,<1H OCEAN,157500,46634
-118.03,34.05,36,1345,331,1511,309,3.5129,<1H OCEAN,142300,31089
-118.01,34.05,31,1135,355,1717,368,2.1602,<1H OCEAN,161700,33071
-118.02,34.05,28,991,255,1145,265,2.3611,<1H OCEAN,167000,32824
-118.02,34.05,33,2464,627,2932,568,3.0625,<1H OCEAN,165800,44289
-118.02,34.04,28,6175,1449,5041,1408,2.8821,<1H OCEAN,158100,42472
-118.09,34.18,34,3113,409,1139,418,10.2289,INLAND,500001,42656
-118.07,34.17,34,4062,597,1525,566,7.8588,INLAND,454800,49783
-118.07,34.17,36,2415,394,1215,413,5.5418,INLAND,326100,35659
-118.07,34.17,35,2142,373,986,374,5.7051,INLAND,326000,34682
-118.1,34.18,39,2321,336,880,339,7.7108,INLAND,450000,37655
-118.11,34.19,50,1430,186,620,201,9.532,INLAND,483300,45547
-118.12,34.19,52,2405,299,970,319,8.7835,INLAND,444100,38852
-118.11,34.2,36,4915,725,1897,700,6.827,INLAND,359400,36558
-118.13,34.2,46,2676,427,1022,395,6.4288,INLAND,295500,45468
-118.13,34.19,48,2539,425,930,364,4.7269,INLAND,303900,45431
-118.13,34.21,36,1449,235,621,210,6.1824,INLAND,274100,41972
-118.13,34.2,45,1213,206,529,231,5.6629,INLAND,234000,40391
-118.13,34.2,46,1271,236,573,210,4.9312,INLAND,240200,41519
-118.13,34.19,43,1621,365,1015,329,2.92,INLAND,242200,49175
-118.14,34.19,45,3595,619,1686,607,4.73,INLAND,201000,49569
-118.14,34.2,39,2569,426,1282,432,5.0953,INLAND,207400,30296
-118.15,34.2,37,1997,361,1037,363,3.7932,INLAND,210300,49556
-118.15,34.2,52,1786,306,1018,322,4.1518,INLAND,182100,48105
-118.15,34.2,46,1505,261,857,269,4.5,INLAND,184200,48441
-118.15,34.21,34,2765,515,1422,438,5.4727,INLAND,238900,35504
-118.15,34.19,48,1854,360,1126,382,3.2216,<1H OCEAN,161600,38073
-118.15,34.19,47,1717,314,868,295,3.6094,<1H OCEAN,160700,38611
-118.16,34.19,40,1840,358,1218,347,4.25,<1H OCEAN,177900,34406
-118.16,34.2,43,1810,343,988,307,3.8203,<1H OCEAN,176000,46265
-118.18,34.22,40,1983,298,853,271,5.9845,<1H OCEAN,241700,46938
-118.19,34.22,32,10626,1504,4353,1482,9.8413,<1H OCEAN,500001,46555
-118.21,34.22,37,2260,322,941,303,8.3695,<1H OCEAN,500001,39440
-118.18,34.2,44,1473,250,668,239,8.72,<1H OCEAN,415900,49064
-118.19,34.2,41,2031,294,859,302,7.419,<1H OCEAN,483700,45568
-118.19,34.21,41,1602,228,680,225,6.553,<1H OCEAN,500001,33162
-118.2,34.21,40,1477,228,609,224,7.8375,<1H OCEAN,500001,30569
-118.2,34.21,42,1493,237,665,224,6.7571,<1H OCEAN,443900,34427
-118.21,34.21,41,1676,263,757,255,4.7734,<1H OCEAN,450800,41895
-118.22,34.23,34,3296,483,1268,478,8.4802,<1H OCEAN,500001,40021
-118.21,34.22,39,3008,386,1240,370,9.2463,<1H OCEAN,500001,46415
-118.22,34.22,39,2686,417,1094,402,7.0059,<1H OCEAN,500001,49714
-118.23,34.22,37,1376,237,618,226,5.9771,<1H OCEAN,431800,39754
-118.21,34.2,35,3646,552,1409,534,6.3794,<1H OCEAN,500001,42719
-118.2,34.2,44,2890,438,1219,429,6.987,<1H OCEAN,500001,41955
-118.18,34.19,48,1371,,528,155,15.0001,<1H OCEAN,500001,46834
-118.19,34.19,34,2061,260,825,254,15.0001,<1H OCEAN,500001,35234
-118.2,34.19,38,2176,266,798,243,15.0001,<1H OCEAN,500001,31143
-118.18,34.17,43,4269,591,1467,582,9.0702,<1H OCEAN,500001,46960
-118.18,34.16,34,5012,746,1699,715,9.4987,<1H OCEAN,500001,40905
-118.15,34.18,46,2230,488,1985,456,2.2328,<1H OCEAN,142100,41961
-118.15,34.17,46,2553,558,1740,492,2.0278,<1H OCEAN,127500,41918
-118.16,34.18,44,1870,389,1345,391,1.8932,<1H OCEAN,136100,37393
-118.16,34.18,48,568,145,559,135,2.4135,<1H OCEAN,135700,42588
-118.16,34.17,52,1193,228,703,221,3.1741,<1H OCEAN,163800,42792
-118.17,34.18,44,1401,246,607,271,2.8472,<1H OCEAN,218800,36885
-118.15,34.18,42,1521,320,1118,311,3.3125,<1H OCEAN,154900,32050
-118.16,34.19,42,2076,462,1641,436,2.2326,<1H OCEAN,149200,35022
-118.16,34.19,44,2195,449,1377,417,3.5887,<1H OCEAN,153500,42185
-118.17,34.18,38,1280,231,828,237,4.375,<1H OCEAN,166700,42218
-118.17,34.19,45,1790,316,1035,312,4.0985,<1H OCEAN,173100,31644
-118.13,34.19,42,2203,412,1012,377,4.0714,INLAND,234000,35276
-118.14,34.18,47,3457,622,1700,579,3.5164,<1H OCEAN,226500,44650
-118.14,34.19,49,1678,277,737,287,3.7222,INLAND,237000,31445
-118.15,34.19,38,1750,411,1398,409,2.3967,<1H OCEAN,163100,46226
-118.1,34.18,47,2168,352,902,361,5.894,INLAND,300900,49454
-118.11,34.18,52,3571,510,1434,490,5.9009,INLAND,376000,34093
-118.12,34.18,44,2357,342,891,337,6.3467,INLAND,352700,48630
-118.13,34.18,52,3094,519,1309,488,6.4223,INLAND,310900,37169
-118.1,34.17,46,1774,315,753,330,4.7241,INLAND,279600,42908
-118.1,34.17,48,1111,229,421,202,3.2813,INLAND,268100,49227
-118.11,34.17,50,3374,598,1484,569,4.99,INLAND,261600,44988
-118.11,34.17,46,2837,592,1453,549,3.1115,INLAND,234600,34870
-118.12,34.18,47,2344,513,1537,481,3.4777,INLAND,230600,36417
-118.13,34.18,52,1464,211,603,226,5.8309,INLAND,309100,31952
-118.12,34.17,37,2705,676,1551,608,2.2692,INLAND,225000,42172
-118.12,34.17,52,1835,330,777,317,3.7159,INLAND,315400,47651
-118.13,34.17,52,1784,368,966,345,3.6094,<1H OCEAN,261500,39415
-118.14,34.18,52,1700,317,996,329,3.9688,<1H OCEAN,175000,42406
-118.14,34.17,52,2667,486,1681,504,4.0524,<1H OCEAN,173100,35052
-118.14,34.17,42,2757,713,2112,653,2.7148,<1H OCEAN,166800,37360
-118.14,34.18,50,1493,326,1000,323,3.3068,<1H OCEAN,154400,46784
-118.14,34.17,40,1054,251,1056,276,2.3,<1H OCEAN,146700,30747
-118.15,34.18,45,2612,664,3117,584,2.3029,<1H OCEAN,148800,46979
-118.15,34.16,18,1711,383,1474,415,1.2891,<1H OCEAN,181300,30647
-118.15,34.16,38,2471,529,1661,441,2.2765,<1H OCEAN,146600,35637
-118.16,34.16,44,1284,278,925,261,1.7321,<1H OCEAN,178400,48450
-118.16,34.17,46,1508,261,674,255,3.5909,<1H OCEAN,155400,46385
-118.16,34.16,43,1276,226,545,209,4.1518,<1H OCEAN,230700,49644
-118.16,34.16,52,1576,239,696,249,6.07,<1H OCEAN,261800,35462
-118.16,34.15,19,1721,290,571,278,6.6031,<1H OCEAN,500001,38283
-118.16,34.15,17,821,163,229,164,7.3715,<1H OCEAN,263000,42533
-118.14,34.16,39,2776,840,2546,773,2.575,<1H OCEAN,153500,39779
-118.14,34.15,52,407,160,227,148,1.5156,<1H OCEAN,187500,38585
-118.15,34.15,52,275,123,273,111,1.1667,<1H OCEAN,500001,36101
-118.15,34.16,52,1925,597,2258,594,1.6921,<1H OCEAN,162500,46222
-118.15,34.15,49,806,199,698,172,2.3654,<1H OCEAN,137500,32888
-118.14,34.17,34,2384,604,2073,540,2.3062,<1H OCEAN,158000,30371
-118.14,34.16,30,2598,757,2869,769,2.1377,<1H OCEAN,142300,30285
-118.15,34.16,20,2410,632,2135,578,1.6887,<1H OCEAN,148600,42086
-118.15,34.17,36,930,280,1024,300,1.0846,<1H OCEAN,146400,32929
-118.13,34.17,49,1962,435,1329,457,3.2898,<1H OCEAN,200000,34907
-118.14,34.16,36,2973,807,2846,784,2.6217,<1H OCEAN,156300,42256
-118.14,34.17,52,2687,600,1716,544,2.7201,<1H OCEAN,205700,40487
-118.13,34.16,36,2162,658,1337,590,2.2095,<1H OCEAN,176700,40857
-118.13,34.15,24,1125,341,579,321,2.8125,<1H OCEAN,141700,45789
-118.14,34.15,41,1256,407,855,383,1.9923,<1H OCEAN,500001,42402
-118.14,34.15,17,1896,674,971,652,0.8438,<1H OCEAN,175000,46765
-118.14,34.16,38,1843,565,1449,524,2.2174,<1H OCEAN,215400,46411
-118.12,34.16,30,1762,416,940,398,2.8631,<1H OCEAN,188600,44642
-118.13,34.16,33,2682,716,2050,692,2.4817,<1H OCEAN,169500,38776
-118.13,34.15,18,1665,477,1095,390,2.6038,<1H OCEAN,155600,37277
-118.12,34.15,19,557,216,673,212,2.1763,<1H OCEAN,168800,37296
-118.12,34.15,22,1671,480,1005,443,3.0119,<1H OCEAN,171400,37179
-118.13,34.15,9,2099,625,1252,554,3.1875,<1H OCEAN,173100,36490
-118.13,34.15,28,1119,334,739,323,2.5903,<1H OCEAN,125000,47661
-118.12,34.17,52,2948,542,1363,495,4.7098,INLAND,287900,40743
-118.13,34.16,52,1872,357,984,364,4,<1H OCEAN,250400,43072
-118.13,34.16,52,1596,314,1024,292,3.6719,<1H OCEAN,227900,33825
-118.13,34.16,52,1787,427,1107,410,2.5664,<1H OCEAN,215000,46396
-118.09,34.17,36,2875,552,1131,458,4.3083,INLAND,269300,32028
-118.1,34.16,44,2795,496,1235,469,4.2386,INLAND,283700,44665
-118.1,34.17,44,4505,894,2296,899,3.4811,INLAND,300500,48433
-118.12,34.17,52,2166,483,1308,467,3.0417,INLAND,222600,38342
